date | value
2014-03-28
2014-03-28 |

2009-09-10 | 2147483648
2012-01-11 | -147483648
2012-01-11 | -1
2011-01-03 | -2

2026-01-03 | 1.3
2008-01-03 | 1.3
2011-01-32 | 1.4
2023-02-31 | 1.6
2010-42-42 | 3

a011-10-05 | 5
201a-10-05 | 5
2011-1a-05 | 5
2011-10-a5 | 5
2011-1a-05 | 5
2012-01-11 | a
2012-01-11 | 5a

2017-02-29 | 1.6
2016-02-29 | 1.6
2020-02-29 | 1.6

2023-06-30 | 50
2011-01-04 | 1
2011-01-03 | 1
2011-01-03 | 3
2014-03-28 | 0.5
2011-01-03 | 1
2011-01-03 | 2
2011-01-03 | 1.2
2011-01-03 | 1.2f
2011-05-09 | 1
2012-01-11 | 1
2024-02-29 | 1.5
2011-01-03 |  0
2011-01-03 | -0
2011-01-09 | 1
2012-01-11 | 1

2022-03-29 | 1.5
2023-03-25 | 1.5
2023-03-25 | 1000

2009-01-01 | 1
2009-01-02 | 1
